id,city,title,kinds,category_kind,description,opening_hours,source,auto_environment,auto_confidence,auto_reason,review_priority,manual_environment
kudago:1620,Выборг,Библиотека Алвара Аалто,"library,attractions",location,"Это здание — одно из чудес мировой архитектуры, шедевр раннего скандинавского функционализма.","пн–пт 11:00–19:00, сб 12:00–19:00",kudago,unknown,0.0,no reliable signal,0,
kudago:1617,Выборг,Городской рынок,attractions,location,Памятник архитектуры в стиле северный модерн,,kudago,unknown,0.0,no reliable signal,0,
kudago:1555,Выборг,Парк-эспланада,"park,attractions",walk,"«Эспланадой» называют пустошь перед крепостью: вплоть до середины девятнадцатого века на этом месте высились валы Выборгской крепости. Затем их срыли, а на их месте разбили парк.",,kudago,unknown,0.0,no reliable signal,0,outdoor
kudago:9764,Выборг,лыжная база на Батарейной горе,"park,attractions,recreation",walk,"Лыжная база на Батарейной горе выдает напрокат популярное зимнее снаряжение – лыжи разных типов в комплекте с ботинками, финские сани, санки-ледянки и «ватрушки».",ежедневно 10:00–18:00,kudago,unknown,0.0,no reliable signal,0,outdoor
otm:N454043204,Екатеринбург,300 лет Российскому флоту,"historic,monuments_and_memorials,interesting_places,monuments",location,,,opentripmap,unknown,0.0,no reliable signal,0,
kudago:5031,Екатеринбург,«Плотинка»,"attractions,sights",location,"Удивительное место, где происходит только самое интересное в жизни горожан — здесь назначают свидания влюблённые парочки, сюда же приезжают на фотосессии счастливые молодожёны.",,kudago,unknown,0.0,no reliable signal,0,
kudago:6825,Екатеринбург,Аллея культуры,"attractions,recreation",location,Городская аллея расположена недалеко от центра Екатеринбурга.,,kudago,unknown,0.0,no reliable signal,0,
kudago:5970,Екатеринбург,Аллея невест,"park,photo-places,attractions",walk,Территория аллеи — идеальное место для романтических прогулок и свадебных фотосессий. Особенно популярна Аллея невест в тёплое время года — благоухающие цветы и зелёные кроны деревьев становятся прекрасными декорациями для прогулок и церемоний.,,kudago,unknown,0.0,no reliable signal,0,outdoor
kudago:35241,Екатеринбург,Белая Башня,attractions,location,Один из самых узнаваемых памятников конструктивизма в Екатеринбурге.,,kudago,unknown,0.0,no reliable signal,0,
otm:Q4114839,Екатеринбург,Вознесенская горка,"historic,historical_places,interesting_places,historic_districts",location,"Вознесе́нская го́рка — историческое место Екатеринбурга, представляющее собой возвышенность в центре города. Названо по имени Вознесенской церкви, расположенной в верхней точке холма.Горка расположена в левобережной части Екатеринбурга, имеет высоту 270 м над уровнем моря. Геологически сложена габбро и перидотитами, окруженными сланцами, порфиритами и их туфами. Площадь на вершине горы носила название Вознесенской, в советские годы бала переименована в площадь Народной мести, позднее — в Комсомольскую. На площади был установлен монумент Уральскому Комсомолу.",,opentripmap,unknown,0.0,no reliable signal,0,
kudago:5105,Екатеринбург,Ганина Яма,"monastery,attractions",location,"В середине XIX века здесь была шахта, её хозяин Гавриил (по прозвищу Ганя) наделся добыть в руднике золото, но кроме железа там ничего не оказалось. В народе это место назвали «Ганиной ямой», тогда даже подумать никто не мог, что шахта будет местом паломничества для православных христиан со всего мира.",Пн-вс 06:00 до 21:00,kudago,unknown,0.0,no reliable signal,0,
kudago:21788,Екатеринбург,Городок чекистов,"attractions,sights,other",location,"Здесь просто не могут не происходить загадочные вещи, ведь в подвалах расположенных здесь зданий работало НКВД. А в позапрошлом столетии на этом месте было кладбище.",,kudago,unknown,0.0,no reliable signal,0,
kudago:33023,Екатеринбург,Дом Маклецкого,art-space,museum,"Здание с арочными окнами и лепными наличниками на улице Тургенева сложно не заметить. Больше, чем за век жизни этого дома, он успел побывать семейным гнёздышком четы Маклецких, городским судом и больницей. Теперь здесь расположился креативный кластер и центр городских практик.",ежедневно 12:00–21:00,kudago,unknown,0.0,no reliable signal,0,
kudago:5110,Екатеринбург,Коляда-Театр,theatre,museum,"Николай Коляда — уральский актёр, режиссёр и драматург. В 2001 году в Екатеринбурге открылся частный театр, где артист по сей день выступает в роли художественного руководителя.",касса: ежедневно 10:00–20:00,kudago,unknown,0.0,no reliable signal,0,indoor
kudago:20134,Екатеринбург,Литературный квартал,"park,attractions,sights",walk,"Своеобразный парк, объединивший в себе несколько музеев, основной особенностью которых является старинный деревянный стиль и резные элементы — здесь можно перенестись на несколько столетий назад.",,kudago,unknown,0.0,no reliable signal,0,outdoor
kudago:5112,Екатеринбург,Обелиск «Европа — Азия»,attractions,location,"Урал находится на границе двух частей света — Европы и Азии. В Свердловской области установили обелиск, символизирующий эту границу.",,kudago,unknown,0.0,no reliable signal,0,
otm:N2315711566,Екатеринбург,Паровоз,"historic,monuments_and_memorials,interesting_places,monuments",location,,,opentripmap,unknown,0.0,no reliable signal,0,
otm:N2315711565,Екатеринбург,Паровоз Черепановых,"historic,monuments_and_memorials,interesting_places,monuments",location,,,opentripmap,unknown,0.0,no reliable signal,0,
kudago:5309,Екатеринбург,Свердловская государственная академическая филармония,concert-hall,museum,Одна из лучших филармоний России.,"пн–пт 10:00–20:00, сб, вс 11:00–18:00",kudago,unknown,0.0,no reliable signal,0,indoor
kudago:5101,Екатеринбург,Улица Вайнера,attractions,location,"Пешеходная улица Вайнера находится в центре города, местные жители гордо называют её екатеринбургским Арбатом.",,kudago,unknown,0.0,no reliable signal,0,
kudago:5687,Екатеринбург,Храм Рождества Христова на Уралмаше,"attractions,temple",location,Это первый вновь построенный храм Русской Церкви Екатеринбурга со времён революции 1917 года. Сегодня Церковь Рождества Христова — один из самых крупных приходов Екатеринбургской епархии.,,kudago,unknown,0.0,no reliable signal,0,
otm:N4806963459,Екатеринбург,Цветы,"other,unclassified_objects,interesting_places,tourist_object",location,,,opentripmap,unknown,0.0,no reliable signal,0,
kudago:21550,Екатеринбург,заброшенная Дорожная больница,"attractions,sights,other",location,В нескольких корпусах бывшей больницы с 2010 года царит полное запустение.,,kudago,unknown,0.0,no reliable signal,0,
kudago:22971,Екатеринбург,здание Свердловского городского совета народных депутатов,attractions,location,Типичное для своей эпохи здание напоминает архитектурные шедевры Москвы и Петербурга.,,kudago,unknown,0.0,no reliable signal,0,
kudago:35917,Екатеринбург,квест-перформанс «Адский бункер»,questroom,location,"Жуткие научные эксперименты, путешествия во времени и нераскрытые тайны — вместе со своей командой вы погрузитесь в страшные секреты загадочного бункера, которые, возможно, будут стоить вам жизни.",ежедневно 1:00–23:30,kudago,unknown,0.0,no reliable signal,0,
kudago:36039,Екатеринбург,квест-перформанс «Визит»,questroom,location,"Желание помогать пожилым людям всегда похвально. Но что, если вы натолкнётесь на тех, кто лишь скрывается за маской доброты? Сможете ли вы помочь тому, кто нуждается в спасении, сохранив при этом собственную жизнь?",ежедневно 1:30–23:59,kudago,unknown,0.0,no reliable signal,0,
kudago:35916,Екатеринбург,квест-перформанс «Игра со смертью»,questroom,location,"Ужасные опыты, страшные существа и покинутый всеми ребёнок — об этом месте ходят леденящие кровь легенды. Сможете ли вы осмелиться проникнуть в заброшенную ветлечебницу и раскрыть её мрачные тайны?",ежедневно 11:30–22:00,kudago,unknown,0.0,no reliable signal,0,
kudago:36087,Екатеринбург,квест-перформанс «Кровавый ритуал»,questroom,location,"Интригующий сюжет, мистическая атмосфера и качественная актёрская игра — вас ждёт захватывающий перфоманс в жанре хоррора, наполненный тайнами и загадками.",ежедневно 0:00–22:30,kudago,unknown,0.0,no reliable signal,0,
kudago:36037,Екатеринбург,квест-перформанс «Лавка мясника»,questroom,location,"Безжалостные каннибалы, пронзительные крики и атмосфера страха — вас ждёт леденящая кровь борьба за выживание в духе классических американских фильмов ужасов.",ежедневно 1:00–23:50,kudago,unknown,0.0,no reliable signal,0,
kudago:35918,Екатеринбург,квест-перформанс «Людоед»,questroom,location,"Квест разработан специально для поклонников хорроров о маньяках и тру-крайма (историй настоящих преступлений). Перед вами разверзнутся врата в настоящий ад на земле, в котором люди не знают эмпатии и ради удовольствия мучают себе подобных.",ежедневно 1:00–23:30,kudago,unknown,0.0,no reliable signal,0,
