id;city;title;kinds;category_kind;description;opening_hours;source;auto_environment;auto_confidence;auto_reason;review_priority;manual_environment
kudago:7989;Казань;Александровский пассаж;attractions,sights;location;Настоящее архитектурное чудо Казани конца XIX века — Александровский пассаж — потрясает своим внешним убранством.;;kudago;unknown;0.0;no reliable signal;0;mixed
kudago:4156;Казань;Апанаевская мечеть;attractions;location;Мечеть, получившая своё название в честь содержавших её в XVIII веке купцов Апанаевых, является одним из старейших культовых сооружений города.;ежедневно 7:30–20:00;kudago;unknown;0.0;no reliable signal;0;mixed
kudago:7688;Казань;Башня Сююмбике;attractions,sights;location;Знаменитая в Татарстане башня несколько сотен лет клонится к земле и не падает.;ежедневно весь день;kudago;unknown;0.0;no reliable signal;0;mixed
kudago:33893;Казань;Болгар;amusement,attractions,sights;location;Болгар — идеальное направление для тех, кто интересуется историей и любит проводить время на природе. Рассказываем, чем заняться в этом древнем городе, который часто называют «северной Меккой».;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:8384;Казань;Варваринская церковь;attractions,sights,temple,church;location;Церковь была построена в период 1779-1780 годов на месте загородного дома губернатора Кудрявцева.;;kudago;unknown;0.0;no reliable signal;0;mixed
kudago:8133;Казань;Государственный Большой концертный зал имени Сайдашева;concert-hall;museum;Главная концертная сцена столицы Татарстана является ведущим центром музыкальной жизни Казани.;ежедневно 10:00–19:00;kudago;unknown;0.0;no reliable signal;0;indoor
kudago:22952;Казань;Дом Ушковой;library,attractions;location;Здание, в котором сейчас находится национальная библиотека Татарстана, имеет богатую историю — когда-то оно принадлежало чете Ушковых, Алексею и Зинаиде.;;kudago;unknown;0.0;no reliable signal;0;indoor
kudago:8918;Казань;Закабанная мечеть;attractions;location;Построена мечеть в честь тысячелетия принятия ислама на территории Поволжья.;;kudago;unknown;0.0;no reliable signal;0;mixed
kudago:8002;Казань;Казанская ратуша;attractions,sights;location;Белоснежного цвета особняк был возведён в центре Казани специально для Дворянского собрания.;;kudago;unknown;0.0;no reliable signal;0;mixed
kudago:22953;Казань;Мергасовский дом;attractions;location;Здание, которое горожане теперь используют для тематических фотосессий, а власти постоянно пытаются снести, вообще-то является архитектурным шедевром своего времени.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:8752;Казань;Скамейка влюблённых;attractions;location;Скамейка влюблённых в парке на Петербургской улице — интересный арт-объект, совместивший эстетические и практические функции.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:8100;Казань;Спасская башня Казанского Кремля;attractions,sights;location;Башня является памятником древнерусского оборонительного зодчества, возведена она в XVI веке одновременно со стенами Кремля.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:7698;Казань;Старо–татарская слобода;attractions;location;Исторический комплекс достопримечательностей располагается между казанским озером Нижний Кабан и проточным каналом Булак.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:8163;Казань;Стела Универсиады 2013;attractions,sights;location;В 2013 году впервые за 40 лет Россия приняла Универсиаду — международные спортивные состязания студентов. В честь этого события на Оренбургском тракте появился разноцветный символ Универсиады-2013.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:7948;Казань;Храм всех религий;attractions,sights,temple;location;Уникальный архитектурный памятник и последнее произведение художника-гуманиста.;ежедневно 9:00–18:00;kudago;unknown;0.0;no reliable signal;0;mixed
kudago:7705;Казань;Юбилейная арка;park,attractions;walk;Памятник архитектуры, сооруженный в 1888 году, сейчас входит в состав целого паркового ансамбля.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:8381;Казань;водный канал «Булак»;attractions;location;Небольшая речка отделяет верхнюю часть города Казани от нижней, ее название произошло от татарского слова «болак».;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:21892;Казань;дендрарий;park,attractions;walk;История заповедника началась в 1921 году. Сейчас это хорошо развитый дендрарий с множеством растений различного вида и типа.;вт–вс 10:00–17:00;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:8196;Казань;дом Шамсутдинова;attractions;location;Двухэтажное здание в историческом центре Казани построено в 1898 году по заказу местного мещанина Шакирзяна Шамсутдинова.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:4155;Казань;мечеть Кул Шариф;attractions;location;Главная мечеть республики Татарстан, которая находится на территории Казанского Кремля.;;kudago;unknown;0.0;no reliable signal;0;mixed
kudago:17415;Казань;татарская филармония имени Габдуллы Тукая;concert-hall;museum;Главная концертная площадка республики.;ежедневно 10:00–19:00;kudago;unknown;0.0;no reliable signal;0;indoor
kudago:34667;Казань;творческая лаборатория «Угол»;sights,theatre;museum;Современные театральные постановки, перформасны с участием горожан, увлекательные лекции по искусству — всё это в творческой лаборатории «Угол».;;kudago;unknown;0.0;no reliable signal;0;indoor
kudago:7693;Казань;улица Баумана;attractions,sights;location;Одна из красивейших улиц Казани, которую многие сравнивают с московским Арбатом.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:7710;Казань;улица Карла Маркса;attractions,sights;location;Одна из старейших улиц Казани названа в честь немецкого политического деятеля, экономиста и философа Карла Маркса, в период празднования его столетия.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:7925;Казань;улица Петербургская;attractions,sights;location;Эта улица является логическим продолжением пешеходной улицы Баумана, в советские времена она носила имя революционера Свердлова, сегодня это улица Петербургская.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:36164;Казань;центр ремёсел Абый&Сабый;amusement,kids,sights,workshops,education-centers;location;В самом сердце города, в Казанском кремле, находится творческое пространство, где можно познакомиться с традиционными ремёслами. Для гостей проводят увлекательные мастер-классы и театрализованные экскурсии, на которых будет интересно и детям, и взрослым.;;kudago;unknown;0.0;no reliable signal;0;indoor
kudago:7982;Казань;центр семьи «Казан»;palace,attractions;location;Лето 2013 года ознаменовалось многими значимыми событиями для Казани, одно из которых — открытие нового дворца бракосочетания, аналогов которому нет в мире.;вт–сб 8:00–17:00;kudago;unknown;0.0;no reliable signal;0;mixed
kudago:34752;Казань;экстрим-парк «УРАМ»;kids,park,art-space;museum;В экстрим-парке «УРАМ» объединились спорт и творчество. Здесь можно кататься на скейтборде и танцевать, заниматься паркуром и слушать лекции об искусстве, учить новые трюки на велосипеде и заниматься музыкой.;ежедневно 10:00–22:00;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:270;Москва;Аптекарский огород;park,attractions;walk;Розовый лёд, черепахи, магнолия, ананасы — и всё это в центре города.;пн–вс 10:00–19:00;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:10673;Москва;Воробьёвы горы;park,attractions,sights;walk;Место, где бывал Шаляпин, где смотрел на зеркальную фабрику Пётр I, где начинался первый водопровод, где находится главный университет России. Место, которое существует уже 150 000 000 лет.;ежедневно весь день;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:4922;Москва;Генератор Аркадьева-Маркса или «Катушка Тесла»;photo-places,attractions,sights;location;Место, в котором рождаются искусственные молнии и облака.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:38;Москва;Дизайн завод;art-centers,attractions,sights;museum;Креативный кластер вырос в целый район благодаря постоянному взаимодействию с горожанами, созданию живого творческого сообщества и внимательному выбору резидентов.;ежедневно весь день;kudago;unknown;0.0;no reliable signal;0;mixed
kudago:6409;Москва;Источник Преподобного Сергия Радонежского;attractions,sights;location;Для православных паломников Гремячий ключ — свидетельство чудотворной силы одного из самых чтимых на Руси святых. Для светских туристов и любителей природы — изменчивая в своём облике и характере достопримечательность Подмосковья, источник неизменно чистой воды. А вокруг — плоды труда, вдохновлённого верой.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:7896;Москва;Лопатинский рудник;photo-places,attractions,sights;location;В Воскресенском районе, в окрестностях посёлка Фосфоритный располагается одно из самых необычных и экзотических мест Подмосковья — Лопатинский рудник.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:851;Москва;Останкинская телебашня;attractions,sights;location;Останкинская телебашня — одна из главных достопримечательностей Москвы и символ отечественного телерадиовещания. Здесь проводят экскурсии с подъёмом на высоту более трёхсот метров, а уникальный мультимедийный комплекс знакомит посетителей с устройством этого удивительного сооружения.;ежедневно 9:00–21:00;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:4439;Москва;Патриаршие пруды;attractions;location;Здесь всё дышит мистикой, загадкой и стариной. Именно здесь повстречались несчастные Берлиоз, Бездомный и легендарный Воланд. Знаете, как почувствовать дух старой Москвы?;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:37;Москва;Серебряный бор;park,attractions;walk;Место с красивой легендой в названии, загадочной историей происхождения и хорошей репутацией в настоящем. Для замотанных москвичей круглогодичные экологические возможности Серебряного бора — на вес золота. Сюда вырываются из суеты мегаполиса ради размеренного или активного отдыха на природе.;ежедневно весь день;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:5125;Москва;Триумфальная арка;attractions,sights;location;Триумфальная арка Москвы — символ мужества русского народа.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:26935;Москва;Фондовая оранжерея Главного ботанического сада имени Цицина РАН «Московские тропики»;park,attractions;walk;Это место — возможность абстрагироваться от шума и суеты мегаполиса и совершить неспешную прогулку по садам и лесам разных стран и континентов.;вт, ср, пт–вс 10:00–17:00, чт 10:00–14:00;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:484;Москва;Чайный дом на Мясницкой;shops,attractions;location;Китайский островок на Мясницкой улице — это известный чайный магазин Перлова, история которого началась ещё в позапрошлом веке.;ежедневно 10:00–20:00;kudago;unknown;0.0;no reliable signal;0;mixed
kudago:5921;Москва;Эйфелева башня в Москве;kids,attractions,sights;location;Вы можете поехать в Париж и отстоять огромную очередь, чтобы посетить главную его достопримечательность — великолепную Эйфелеву башню. А можете просто сесть в метро и, не выезжая за пределы МКАД, прикоснуться к точной её копии.;ежедневно весь день;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:7135;Москва;арт-парк «Никола-Ленивец»;kids,park,attractions,sights;walk;Арт-парк «Никола-Ленивец» — прекрасная возможность провести чудесные выходные недалеко от Москвы! Природа, удивительные арт-объекты, рестораны, активный отдых и уютный ночлег — всё это есть в парке.;;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:3795;Москва;водопад Радужный;attractions,sights;location;Центральная Россия — край водопадов! Не верите? А зря.;ежедневно весь день;kudago;unknown;0.0;no reliable signal;0;outdoor
kudago:18778;Москва;креативное пространство «Люмьер-Холл»;coworking,attractions,sights,cinema;location;В креативном пространстве «Люмьер-Холл» благодаря мультимедийным выставкам оживают полотна великих мастеров, ценители кинематографа получают удовольствие от тематических кинопоказов, а на концертах и фестивалях кипит яркая, современная, полная впечатлений жизнь.;ежедневно 11:00–23:00;kudago;unknown;0.0;no reliable signal;0;indoor
